customer_id,review_text,review_rating,review_sentiment_score,review_length
CUST000001,Average purchase. No major issues.,3,0.52,34
CUST000002,It's fine. Nothing exceptional.,3,0.594,31
CUST000003,The worst purchase I've made. Don't buy this product.,2,0.055,53
CUST000004,Product doesn't work as advertised. Very frustrating.,2,0.11,53
CUST000005,Wonderful product. Fast delivery. Highly recommend!,4,0.714,51
CUST000006,The worst purchase I've made. Don't buy this product.,1,0.132,53
CUST000007,Amazing quality and fast shipping. Very satisfied!,5,0.933,50
CUST000008,Average quality. Nothing special but works fine.,3,0.454,48
CUST000009,Product doesn't work as advertised. Very frustrating.,1,0.296,53
CUST000010,Fair quality. Worth the money.,3,0.563,30
CUST000011,Fair quality. Worth the money.,3,0.415,30
CUST000012,Excellent product! Exceeded my expectations. Highly recommend!,5,0.842,62
CUST000013,Fantastic product. Exceeded expectations. 5 stars!,4,0.853,50
CUST000014,Excellent purchase. Great quality and service!,5,0.723,46
CUST000015,Very disappointed. Not as described. Poor customer service.,2,0.056,59
CUST000016,Decent product. Would consider buying again.,3,0.572,44
CUST000017,Not worth the price. Very disappointed.,1,0.067,39
CUST000018,Meets basic expectations. No complaints.,3,0.465,40
CUST000019,Outstanding product and customer service. Will buy again!,5,0.784,57
CUST000020,Excellent product! Exceeded my expectations. Highly recommend!,5,0.867,62
CUST000021,Fantastic product. Exceeded expectations. 5 stars!,5,0.805,50
CUST000022,It's decent for the price. Could be better.,3,0.58,43
CUST000023,Customer service was unhelpful and rude.,2,0.071,40
CUST000024,Excellent product! Exceeded my expectations. Highly recommend!,5,0.87,62
CUST000025,Product doesn't work as advertised. Very frustrating.,2,0.073,53
CUST000026,Arrived damaged and seller refused to help. Avoid!,1,0.256,50
CUST000027,Best purchase I've made. Great value for money.,4,0.729,47
CUST000028,Perfect! Exactly as described. Love it!,4,0.922,39
CUST000029,Standard product. Gets the job done.,3,0.583,36
CUST000030,Standard product. Gets the job done.,3,0.559,36
CUST000031,Okay product. Satisfied but not thrilled.,3,0.419,41
CUST000032,Outstanding product and customer service. Will buy again!,4,0.877,57
CUST000033,It's decent for the price. Could be better.,3,0.527,43
CUST000034,Amazing quality and fast shipping. Very satisfied!,4,0.989,50
CUST000035,Product doesn't work as advertised. Very frustrating.,1,0.052,53
CUST000036,Okay product. Satisfied but not thrilled.,3,0.548,41
CUST000037,Product is okay. Does what it's supposed to do.,3,0.552,47
CUST000038,Perfect! Exactly as described. Love it!,5,0.885,39
CUST000039,Decent product. Would consider buying again.,3,0.571,44
CUST000040,Product is okay. Does what it's supposed to do.,3,0.517,47
CUST000041,Arrived damaged and seller refused to help. Avoid!,2,0.164,50
CUST000042,Product is okay. Does what it's supposed to do.,3,0.581,47
CUST000043,The worst purchase I've made. Don't buy this product.,1,0.096,53
CUST000044,Customer service was unhelpful and rude.,1,0.053,40
CUST000045,Great value and excellent quality. Highly satisfied!,5,0.933,52
CUST000046,Arrived damaged and seller refused to help. Avoid!,1,0.269,50
CUST000047,Very disappointed. Not as described. Poor customer service.,2,0.172,59
CUST000048,Fantastic product. Exceeded expectations. 5 stars!,5,0.926,50
CUST000049,Arrived damaged and seller refused to help. Avoid!,2,0.148,50
CUST000050,Customer service was unhelpful and rude.,2,0.112,40
CUST000051,Cheaply made and overpriced. Regret buying this.,1,0.289,48
CUST000052,Average purchase. No major issues.,3,0.471,34
CUST000053,Excellent purchase. Great quality and service!,5,0.749,46
CUST000054,Great value and excellent quality. Highly satisfied!,5,0.745,52
CUST000055,Amazing quality and fast shipping. Very satisfied!,4,0.983,50
CUST000056,Terrible product quality. Broke after one week. Waste of money.,1,0.039,63
CUST000057,Decent product. Would consider buying again.,3,0.57,44
CUST000058,Excellent purchase. Great quality and service!,4,0.831,46
CUST000059,Product is okay. Does what it's supposed to do.,3,0.524,47
CUST000060,Meets basic expectations. No complaints.,3,0.596,40
CUST000061,Fantastic product. Exceeded expectations. 5 stars!,5,0.739,50
CUST000062,Cheaply made and overpriced. Regret buying this.,2,0.052,48
CUST000063,Product is okay. Does what it's supposed to do.,3,0.418,47
CUST000064,Excellent product! Exceeded my expectations. Highly recommend!,4,0.763,62
CUST000065,Decent product. Would consider buying again.,3,0.474,44
CUST000066,Low quality and expensive. Would not recommend.,2,0.171,47
CUST000067,Meets basic expectations. No complaints.,3,0.457,40
CUST000068,Poor quality materials. Fell apart quickly.,1,0.119,43
CUST000069,Customer service was unhelpful and rude.,2,0.167,40
CUST000070,Poor quality materials. Fell apart quickly.,2,0.073,43
CUST000071,Not worth the price. Very disappointed.,1,0.144,39
CUST000072,Fair quality. Worth the money.,3,0.598,30
CUST000073,Excellent product! Exceeded my expectations. Highly recommend!,5,0.979,62
CUST000074,Average purchase. No major issues.,3,0.568,34
CUST000075,Amazing quality and fast shipping. Very satisfied!,5,0.945,50
CUST000076,Amazing quality and fast shipping. Very satisfied!,5,0.863,50
CUST000077,It's fine. Nothing exceptional.,3,0.558,31
CUST000078,Average purchase. No major issues.,3,0.517,34
CUST000079,Average purchase. No major issues.,3,0.584,34
CUST000080,Excellent product! Exceeded my expectations. Highly recommend!,4,0.882,62
CUST000081,Fair quality. Worth the money.,3,0.526,30
CUST000082,Best purchase I've made. Great value for money.,4,0.969,47
CUST000083,Customer service was unhelpful and rude.,2,0.02,40
CUST000084,Cheaply made and overpriced. Regret buying this.,1,0.168,48
CUST000085,Excellent product! Exceeded my expectations. Highly recommend!,5,0.747,62
CUST000086,Average purchase. No major issues.,3,0.579,34
CUST000087,Excellent purchase. Great quality and service!,5,0.803,46
CUST000088,Perfect! Exactly as described. Love it!,5,0.985,39
CUST000089,Arrived damaged and seller refused to help. Avoid!,2,0.24,50
CUST000090,The worst purchase I've made. Don't buy this product.,2,0.077,53
CUST000091,Okay product. Satisfied but not thrilled.,3,0.505,41
CUST000092,Terrible product quality. Broke after one week. Waste of money.,2,0.249,63
CUST000093,Wonderful product. Fast delivery. Highly recommend!,4,0.974,51
CUST000094,The worst purchase I've made. Don't buy this product.,1,0.221,53
CUST000095,Terrible product quality. Broke after one week. Waste of money.,2,0.107,63
CUST000096,Decent product. Would consider buying again.,3,0.495,44
CUST000097,Fantastic product. Exceeded expectations. 5 stars!,5,0.741,50
CUST000098,The worst purchase I've made. Don't buy this product.,2,0.163,53
CUST000099,Okay product. Satisfied but not thrilled.,3,0.532,41
CUST000100,Outstanding product and customer service. Will buy again!,5,0.996,57
CUST000101,Wonderful product. Fast delivery. Highly recommend!,4,0.87,51
CUST000102,Amazing quality and fast shipping. Very satisfied!,5,0.949,50
CUST000103,Decent product. Would consider buying again.,3,0.424,44
CUST000104,Best purchase I've made. Great value for money.,4,0.937,47
CUST000105,Excellent product! Exceeded my expectations. Highly recommend!,5,0.707,62
CUST000106,Best purchase I've made. Great value for money.,4,0.995,47
CUST000107,High quality and great price. Very happy!,4,0.786,41
CUST000108,Amazing quality and fast shipping. Very satisfied!,4,0.84,50
CUST000109,Product is okay. Does what it's supposed to do.,3,0.446,47
CUST000110,Best purchase I've made. Great value for money.,4,0.991,47
CUST000111,Best purchase I've made. Great value for money.,5,0.767,47
CUST000112,Excellent purchase. Great quality and service!,4,0.823,46
CUST000113,Product doesn't work as advertised. Very frustrating.,2,0.149,53
CUST000114,Low quality and expensive. Would not recommend.,1,0.152,47
CUST000115,Cheaply made and overpriced. Regret buying this.,2,0.078,48
CUST000116,Best purchase I've made. Great value for money.,5,0.862,47
CUST000117,Fantastic product. Exceeded expectations. 5 stars!,5,0.834,50
CUST000118,Perfect! Exactly as described. Love it!,5,0.782,39
CUST000119,Fair quality. Worth the money.,3,0.569,30
CUST000120,Fair quality. Worth the money.,3,0.496,30
CUST000121,It's decent for the price. Could be better.,3,0.498,43
CUST000122,Standard product. Gets the job done.,3,0.458,36
CUST000123,Product doesn't work as advertised. Very frustrating.,2,0.296,53
CUST000124,The worst purchase I've made. Don't buy this product.,1,0.003,53
CUST000125,It's fine. Nothing exceptional.,3,0.416,31
CUST000126,It's fine. Nothing exceptional.,3,0.44,31
CUST000127,Great value and excellent quality. Highly satisfied!,4,0.944,52
CUST000128,Best purchase I've made. Great value for money.,5,0.718,47
CUST000129,Customer service was unhelpful and rude.,2,0.066,40
CUST000130,Okay product. Satisfied but not thrilled.,3,0.544,41
CUST000131,Perfect! Exactly as described. Love it!,4,0.918,39
CUST000132,It's fine. Nothing exceptional.,3,0.575,31
CUST000133,Product doesn't work as advertised. Very frustrating.,2,0.039,53
CUST000134,Fantastic product. Exceeded expectations. 5 stars!,5,0.771,50
CUST000135,Meets basic expectations. No complaints.,3,0.519,40
CUST000136,Amazing quality and fast shipping. Very satisfied!,4,0.836,50
CUST000137,Not worth the price. Very disappointed.,1,0.075,39
CUST000138,Fantastic product. Exceeded expectations. 5 stars!,4,0.921,50
CUST000139,Low quality and expensive. Would not recommend.,2,0.26,47
CUST000140,High quality and great price. Very happy!,5,0.737,41
CUST000141,Terrible product quality. Broke after one week. Waste of money.,1,0.045,63
CUST000142,Product doesn't work as advertised. Very frustrating.,2,0.2,53
CUST000143,Terrible product quality. Broke after one week. Waste of money.,2,0.053,63
CUST000144,Product is okay. Does what it's supposed to do.,3,0.532,47
CUST000145,Product is okay. Does what it's supposed to do.,3,0.556,47
CUST000146,Customer service was unhelpful and rude.,2,0.121,40
CUST000147,High quality and great price. Very happy!,4,0.812,41
CUST000148,The worst purchase I've made. Don't buy this product.,2,0.139,53
CUST000149,Low quality and expensive. Would not recommend.,2,0.144,47
CUST000150,Customer service was unhelpful and rude.,2,0.229,40
CUST000151,Low quality and expensive. Would not recommend.,2,0.278,47
CUST000152,Low quality and expensive. Would not recommend.,2,0.162,47
CUST000153,Best purchase I've made. Great value for money.,5,0.782,47
CUST000154,Excellent purchase. Great quality and service!,5,0.75,46
CUST000155,Great value and excellent quality. Highly satisfied!,4,0.817,52
CUST000156,Arrived damaged and seller refused to help. Avoid!,1,0.041,50
CUST000157,Very disappointed. Not as described. Poor customer service.,2,0.215,59
CUST000158,Product doesn't work as advertised. Very frustrating.,1,0.024,53
CUST000159,Decent product. Would consider buying again.,3,0.53,44
CUST000160,It's decent for the price. Could be better.,3,0.534,43
CUST000161,It's decent for the price. Could be better.,3,0.538,43
CUST000162,Perfect! Exactly as described. Love it!,5,0.835,39
CUST000163,Cheaply made and overpriced. Regret buying this.,1,0.07,48
CUST000164,Outstanding product and customer service. Will buy again!,5,0.927,57
CUST000165,Customer service was unhelpful and rude.,1,0.213,40
CUST000166,It's decent for the price. Could be better.,3,0.587,43
CUST000167,Product is okay. Does what it's supposed to do.,3,0.503,47
CUST000168,Customer service was unhelpful and rude.,1,0.263,40
CUST000169,Amazing quality and fast shipping. Very satisfied!,5,0.908,50
CUST000170,High quality and great price. Very happy!,5,0.744,41
CUST000171,The worst purchase I've made. Don't buy this product.,2,0.041,53
CUST000172,Wonderful product. Fast delivery. Highly recommend!,5,0.828,51
CUST000173,Customer service was unhelpful and rude.,1,0.003,40
CUST000174,Not worth the price. Very disappointed.,2,0.072,39
CUST000175,Cheaply made and overpriced. Regret buying this.,1,0.253,48
CUST000176,Outstanding product and customer service. Will buy again!,4,0.936,57
CUST000177,The worst purchase I've made. Don't buy this product.,2,0.131,53
CUST000178,High quality and great price. Very happy!,4,0.969,41
CUST000179,Cheaply made and overpriced. Regret buying this.,2,0.156,48
CUST000180,High quality and great price. Very happy!,5,0.815,41
CUST000181,Average purchase. No major issues.,3,0.506,34
CUST000182,Wonderful product. Fast delivery. Highly recommend!,4,0.897,51
CUST000183,Arrived damaged and seller refused to help. Avoid!,2,0.067,50
CUST000184,Great value and excellent quality. Highly satisfied!,5,0.945,52
CUST000185,Outstanding product and customer service. Will buy again!,5,0.897,57
CUST000186,Arrived damaged and seller refused to help. Avoid!,1,0.281,50
CUST000187,Best purchase I've made. Great value for money.,5,0.853,47
CUST000188,Arrived damaged and seller refused to help. Avoid!,1,0.262,50
CUST000189,It's decent for the price. Could be better.,3,0.449,43
CUST000190,Great value and excellent quality. Highly satisfied!,4,0.756,52
CUST000191,Arrived damaged and seller refused to help. Avoid!,2,0.011,50
CUST000192,Average purchase. No major issues.,3,0.43,34
CUST000193,Excellent product! Exceeded my expectations. Highly recommend!,5,0.878,62
CUST000194,Okay product. Satisfied but not thrilled.,3,0.401,41
CUST000195,Customer service was unhelpful and rude.,2,0.028,40
CUST000196,Excellent purchase. Great quality and service!,5,0.744,46
CUST000197,Product is okay. Does what it's supposed to do.,3,0.587,47
CUST000198,Low quality and expensive. Would not recommend.,1,0.236,47
CUST000199,Best purchase I've made. Great value for money.,5,0.982,47
CUST000200,Perfect! Exactly as described. Love it!,4,0.919,39
CUST000201,Outstanding product and customer service. Will buy again!,4,0.774,57
CUST000202,Perfect! Exactly as described. Love it!,5,0.933,39
CUST000203,Average quality. Nothing special but works fine.,3,0.596,48
CUST000204,The worst purchase I've made. Don't buy this product.,2,0.292,53
CUST000205,Best purchase I've made. Great value for money.,4,0.734,47
CUST000206,Customer service was unhelpful and rude.,1,0.025,40
CUST000207,Poor quality materials. Fell apart quickly.,2,0.138,43
CUST000208,Arrived damaged and seller refused to help. Avoid!,2,0.156,50
CUST000209,Cheaply made and overpriced. Regret buying this.,1,0.232,48
CUST000210,Average quality. Nothing special but works fine.,3,0.531,48
CUST000211,Product doesn't work as advertised. Very frustrating.,1,0.19,53
CUST000212,Arrived damaged and seller refused to help. Avoid!,2,0.16,50
CUST000213,Great value and excellent quality. Highly satisfied!,5,0.862,52
CUST000214,Meets basic expectations. No complaints.,3,0.564,40
CUST000215,Fantastic product. Exceeded expectations. 5 stars!,4,0.804,50
CUST000216,Perfect! Exactly as described. Love it!,4,0.886,39
CUST000217,Fair quality. Worth the money.,3,0.596,30
CUST000218,Low quality and expensive. Would not recommend.,2,0.098,47
CUST000219,Poor quality materials. Fell apart quickly.,2,0.251,43
CUST000220,Low quality and expensive. Would not recommend.,1,0.154,47
CUST000221,Terrible product quality. Broke after one week. Waste of money.,1,0.199,63
CUST000222,Fantastic product. Exceeded expectations. 5 stars!,5,0.959,50
CUST000223,Outstanding product and customer service. Will buy again!,4,0.734,57
CUST000224,Not worth the price. Very disappointed.,2,0.014,39
CUST000225,Meets basic expectations. No complaints.,3,0.582,40
CUST000226,It's fine. Nothing exceptional.,3,0.487,31
CUST000227,Best purchase I've made. Great value for money.,5,0.889,47
CUST000228,It's fine. Nothing exceptional.,3,0.502,31
CUST000229,Outstanding product and customer service. Will buy again!,5,0.721,57
CUST000230,Very disappointed. Not as described. Poor customer service.,2,0.099,59
CUST000231,Excellent purchase. Great quality and service!,4,0.872,46
CUST000232,Fantastic product. Exceeded expectations. 5 stars!,5,0.962,50
CUST000233,Not worth the price. Very disappointed.,1,0.039,39
CUST000234,Customer service was unhelpful and rude.,2,0.093,40
CUST000235,Meets basic expectations. No complaints.,3,0.412,40
CUST000236,Outstanding product and customer service. Will buy again!,4,0.806,57
CUST000237,Great value and excellent quality. Highly satisfied!,5,0.846,52
CUST000238,Decent product. Would consider buying again.,3,0.486,44
CUST000239,Terrible product quality. Broke after one week. Waste of money.,1,0.237,63
CUST000240,Decent product. Would consider buying again.,3,0.572,44
CUST000241,Outstanding product and customer service. Will buy again!,4,0.907,57
CUST000242,Terrible product quality. Broke after one week. Waste of money.,1,0.008,63
CUST000243,Standard product. Gets the job done.,3,0.462,36
CUST000244,Poor quality materials. Fell apart quickly.,2,0.065,43
CUST000245,The worst purchase I've made. Don't buy this product.,1,0.289,53
CUST000246,Product is okay. Does what it's supposed to do.,3,0.58,47
CUST000247,Excellent purchase. Great quality and service!,4,0.948,46
CUST000248,Terrible product quality. Broke after one week. Waste of money.,2,0.046,63
CUST000249,It's decent for the price. Could be better.,3,0.46,43
CUST000250,Very disappointed. Not as described. Poor customer service.,1,0.103,59
CUST000251,Fair quality. Worth the money.,3,0.559,30
CUST000252,Fantastic product. Exceeded expectations. 5 stars!,4,0.761,50
CUST000253,Best purchase I've made. Great value for money.,4,0.808,47
CUST000254,Terrible product quality. Broke after one week. Waste of money.,2,0.287,63
CUST000255,Cheaply made and overpriced. Regret buying this.,2,0.004,48
CUST000256,Best purchase I've made. Great value for money.,5,0.93,47
CUST000257,Meets basic expectations. No complaints.,3,0.498,40
CUST000258,Average quality. Nothing special but works fine.,3,0.59,48
CUST000259,Standard product. Gets the job done.,3,0.586,36
CUST000260,Poor quality materials. Fell apart quickly.,1,0.192,43
CUST000261,High quality and great price. Very happy!,5,0.967,41
CUST000262,Excellent product! Exceeded my expectations. Highly recommend!,4,0.914,62
CUST000263,Decent product. Would consider buying again.,3,0.555,44
CUST000264,Cheaply made and overpriced. Regret buying this.,1,0.016,48
CUST000265,Okay product. Satisfied but not thrilled.,3,0.401,41
CUST000266,Fair quality. Worth the money.,3,0.454,30
CUST000267,Not worth the price. Very disappointed.,2,0.273,39
CUST000268,Excellent product! Exceeded my expectations. Highly recommend!,4,0.825,62
CUST000269,Excellent purchase. Great quality and service!,4,0.964,46
CUST000270,Decent product. Would consider buying again.,3,0.459,44
CUST000271,Excellent purchase. Great quality and service!,4,0.795,46
CUST000272,Fantastic product. Exceeded expectations. 5 stars!,4,0.786,50
CUST000273,It's decent for the price. Could be better.,3,0.481,43
CUST000274,Best purchase I've made. Great value for money.,5,0.932,47
CUST000275,Fair quality. Worth the money.,3,0.403,30
CUST000276,Okay product. Satisfied but not thrilled.,3,0.405,41
CUST000277,It's decent for the price. Could be better.,3,0.495,43
CUST000278,It's fine. Nothing exceptional.,3,0.527,31
CUST000279,The worst purchase I've made. Don't buy this product.,1,0.087,53
CUST000280,Customer service was unhelpful and rude.,2,0.002,40
CUST000281,Okay product. Satisfied but not thrilled.,3,0.487,41
CUST000282,It's decent for the price. Could be better.,3,0.57,43
CUST000283,The worst purchase I've made. Don't buy this product.,1,0.087,53
CUST000284,Great value and excellent quality. Highly satisfied!,4,0.926,52
CUST000285,Perfect! Exactly as described. Love it!,4,0.712,39
CUST000286,High quality and great price. Very happy!,5,0.806,41
CUST000287,Excellent purchase. Great quality and service!,5,0.761,46
CUST000288,Meets basic expectations. No complaints.,3,0.571,40
CUST000289,Not worth the price. Very disappointed.,2,0.054,39
CUST000290,Okay product. Satisfied but not thrilled.,3,0.597,41
CUST000291,Perfect! Exactly as described. Love it!,5,0.75,39
CUST000292,Perfect! Exactly as described. Love it!,5,0.914,39
CUST000293,Average quality. Nothing special but works fine.,3,0.539,48
CUST000294,Great value and excellent quality. Highly satisfied!,4,0.749,52
CUST000295,Not worth the price. Very disappointed.,2,0.008,39
CUST000296,Okay product. Satisfied but not thrilled.,3,0.501,41
CUST000297,Arrived damaged and seller refused to help. Avoid!,2,0.119,50
CUST000298,Meets basic expectations. No complaints.,3,0.574,40
CUST000299,Excellent purchase. Great quality and service!,4,0.8,46
CUST000300,Fantastic product. Exceeded expectations. 5 stars!,5,0.8,50
CUST000301,Wonderful product. Fast delivery. Highly recommend!,4,0.826,51
CUST000302,Amazing quality and fast shipping. Very satisfied!,4,0.911,50
CUST000303,High quality and great price. Very happy!,4,0.786,41
CUST000304,The worst purchase I've made. Don't buy this product.,1,0.187,53
CUST000305,It's fine. Nothing exceptional.,3,0.522,31
CUST000306,Poor quality materials. Fell apart quickly.,2,0.032,43
CUST000307,Excellent purchase. Great quality and service!,5,0.705,46
CUST000308,Meets basic expectations. No complaints.,3,0.568,40
CUST000309,Product doesn't work as advertised. Very frustrating.,1,0.225,53
CUST000310,Okay product. Satisfied but not thrilled.,3,0.448,41
CUST000311,Terrible product quality. Broke after one week. Waste of money.,2,0.074,63
CUST000312,It's decent for the price. Could be better.,3,0.509,43
CUST000313,Arrived damaged and seller refused to help. Avoid!,2,0.021,50
CUST000314,Fair quality. Worth the money.,3,0.533,30
CUST000315,The worst purchase I've made. Don't buy this product.,2,0.151,53
CUST000316,Fair quality. Worth the money.,3,0.432,30
CUST000317,Terrible product quality. Broke after one week. Waste of money.,2,0.087,63
CUST000318,Arrived damaged and seller refused to help. Avoid!,1,0.237,50
CUST000319,The worst purchase I've made. Don't buy this product.,1,0.258,53
CUST000320,Product doesn't work as advertised. Very frustrating.,1,0.225,53
CUST000321,Cheaply made and overpriced. Regret buying this.,1,0.035,48
CUST000322,Amazing quality and fast shipping. Very satisfied!,5,0.706,50
CUST000323,Excellent purchase. Great quality and service!,4,0.882,46
CUST000324,Best purchase I've made. Great value for money.,4,0.829,47
CUST000325,Fair quality. Worth the money.,3,0.482,30
CUST000326,Decent product. Would consider buying again.,3,0.423,44
CUST000327,Decent product. Would consider buying again.,3,0.404,44
CUST000328,Perfect! Exactly as described. Love it!,5,0.907,39
CUST000329,Not worth the price. Very disappointed.,2,0.146,39
CUST000330,Outstanding product and customer service. Will buy again!,5,0.963,57
CUST000331,Great value and excellent quality. Highly satisfied!,4,0.721,52
CUST000332,Meets basic expectations. No complaints.,3,0.531,40
CUST000333,Decent product. Would consider buying again.,3,0.555,44
CUST000334,Meets basic expectations. No complaints.,3,0.55,40
CUST000335,Fair quality. Worth the money.,3,0.439,30
CUST000336,Excellent purchase. Great quality and service!,4,0.896,46
CUST000337,Low quality and expensive. Would not recommend.,2,0.215,47
CUST000338,Meets basic expectations. No complaints.,3,0.485,40
CUST000339,High quality and great price. Very happy!,4,0.782,41
CUST000340,The worst purchase I've made. Don't buy this product.,1,0.191,53
CUST000341,Very disappointed. Not as described. Poor customer service.,2,0.179,59
CUST000342,It's decent for the price. Could be better.,3,0.556,43
CUST000343,Terrible product quality. Broke after one week. Waste of money.,1,0.078,63
CUST000344,Wonderful product. Fast delivery. Highly recommend!,5,0.9,51
CUST000345,Wonderful product. Fast delivery. Highly recommend!,5,0.873,51
CUST000346,The worst purchase I've made. Don't buy this product.,2,0.299,53
CUST000347,Standard product. Gets the job done.,3,0.535,36
CUST000348,Fantastic product. Exceeded expectations. 5 stars!,4,0.88,50
CUST000349,Outstanding product and customer service. Will buy again!,5,0.934,57
CUST000350,Very disappointed. Not as described. Poor customer service.,1,0.241,59
CUST000351,Great value and excellent quality. Highly satisfied!,4,0.976,52
CUST000352,Average purchase. No major issues.,3,0.485,34
CUST000353,Low quality and expensive. Would not recommend.,2,0.241,47
CUST000354,It's decent for the price. Could be better.,3,0.412,43
CUST000355,Arrived damaged and seller refused to help. Avoid!,2,0.245,50
CUST000356,Low quality and expensive. Would not recommend.,2,0.03,47
CUST000357,Amazing quality and fast shipping. Very satisfied!,4,0.807,50
CUST000358,Excellent purchase. Great quality and service!,4,0.746,46
CUST000359,Outstanding product and customer service. Will buy again!,5,0.997,57
CUST000360,Terrible product quality. Broke after one week. Waste of money.,1,0.147,63
CUST000361,Terrible product quality. Broke after one week. Waste of money.,2,0.251,63
CUST000362,Cheaply made and overpriced. Regret buying this.,2,0.059,48
CUST000363,Amazing quality and fast shipping. Very satisfied!,4,0.726,50
CUST000364,Excellent purchase. Great quality and service!,5,0.962,46
CUST000365,Amazing quality and fast shipping. Very satisfied!,4,0.973,50
CUST000366,Great value and excellent quality. Highly satisfied!,5,1.0,52
CUST000367,Cheaply made and overpriced. Regret buying this.,1,0.051,48
CUST000368,Excellent purchase. Great quality and service!,4,0.71,46
CUST000369,Decent product. Would consider buying again.,3,0.49,44
CUST000370,High quality and great price. Very happy!,5,0.965,41
CUST000371,Average purchase. No major issues.,3,0.462,34
CUST000372,Average purchase. No major issues.,3,0.437,34
CUST000373,Meets basic expectations. No complaints.,3,0.418,40
CUST000374,Low quality and expensive. Would not recommend.,2,0.141,47
CUST000375,Meets basic expectations. No complaints.,3,0.563,40
CUST000376,The worst purchase I've made. Don't buy this product.,2,0.265,53
CUST000377,Poor quality materials. Fell apart quickly.,1,0.249,43
CUST000378,It's decent for the price. Could be better.,3,0.46,43
CUST000379,Fantastic product. Exceeded expectations. 5 stars!,4,0.981,50
CUST000380,Decent product. Would consider buying again.,3,0.516,44
CUST000381,Average quality. Nothing special but works fine.,3,0.466,48
CUST000382,Terrible product quality. Broke after one week. Waste of money.,2,0.066,63
CUST000383,Customer service was unhelpful and rude.,2,0.036,40
CUST000384,Customer service was unhelpful and rude.,1,0.122,40
CUST000385,Meets basic expectations. No complaints.,3,0.512,40
CUST000386,Perfect! Exactly as described. Love it!,5,0.865,39
CUST000387,It's fine. Nothing exceptional.,3,0.451,31
CUST000388,Fantastic product. Exceeded expectations. 5 stars!,4,0.755,50
CUST000389,Arrived damaged and seller refused to help. Avoid!,1,0.219,50
CUST000390,Meets basic expectations. No complaints.,3,0.506,40
CUST000391,Okay product. Satisfied but not thrilled.,3,0.476,41
CUST000392,Cheaply made and overpriced. Regret buying this.,2,0.093,48
CUST000393,Decent product. Would consider buying again.,3,0.479,44
CUST000394,Perfect! Exactly as described. Love it!,5,0.865,39
CUST000395,Fantastic product. Exceeded expectations. 5 stars!,5,0.961,50
CUST000396,Terrible product quality. Broke after one week. Waste of money.,1,0.08,63
CUST000397,The worst purchase I've made. Don't buy this product.,2,0.017,53
CUST000398,Standard product. Gets the job done.,3,0.448,36
CUST000399,Outstanding product and customer service. Will buy again!,5,0.998,57
